FeatureID,Name,Formula,MW,Area: 2,Area: 10,Area: 14,Area: 19,Area: 23,Area: 40,Area: 41,Area: 46,Area: 47,Area: 57,Area: 59,Area: 60,Area: B,name4plot,C,H,O,Cl,N,S,P,H_to_C,O_to_C,NOSC,GFE,DBE,DBE_O,AI,AI_mod,DBE_AI,Class,SampleID,AUC
Feature0038,"[Similar to: α,α-Trehalose; ΔMass: -126.0762 Da]",C6 H13 Cl O6,216.04002,1035603244,2830919.545,2063907.111,140891807,2508382.891,300695817.3,378646398.5,1799822.946,3071271.851,245902016.3,5279058.193,311284994.8,192506.2932,"[Similar to: α,α-Trehalose; ΔMass: -126.0762 Da]",7,13,6,1,0,0,0,1.8571428571428572,0.8571428571428571,-0.14285714285714324,64.37142857142858,1.5,-4.5,-4.5,-0.375,-4.5,Carbohydrate,F1154_1,2830919.545
Feature0037,"1,5-Anhydro-D-fructose",C6 H10 O5,162.05276,867707514.9,291446.9242,554424.0909,28971425.28,636563.7939,1010477192,876800976.8,721328.4846,1262049.972,23352548.83,888161.9383,20491535.68,213520.2758,"1,5-Anhydro-D-fructose",6,10,5,0,0,0,0,1.6666666666666667,0.8333333333333334,0,60.3,2,-3,-3,-0.14285714285714285,-3,Carbohydrate,F1154_1,291446.9242
Feature0036,2-Aminobutyl hydrogen sulfate,C4 H11 N O4 S,169.04084,8459307.288,58895445.61,129623982.8,897124925,164407074.2,8358926.821,8682257.187,100431559.9,458387554.2,683148568.1,141290436,698530184.1,197611.748,2-Aminobutyl hydrogen sulfate,4,11,4,0,1,1,0,2.75,1,0.5,46.05,0,-4,3,-Inf,-6,Other,F1154_1,58895445.61
Feature0035,6-Deoxy-alpha-D-arabino-hexopyranos-3-ulose,C6 H10 O5,162.05276,621911607.5,635192.7273,809863.2279,24324302.1,1533147.977,734921160.5,812698843.3,946108.9466,1187325.836,30615787.09,1245851.869,19467750.26,216372.9342,6-Deoxy-alpha-D-arabino-hexopyranos-3-ulose,6,10,5,0,0,0,0,1.6666666666666667,0.8333333333333334,0,60.3,2,-3,-3,-0.14285714285714285,-3,Carbohydrate,F1154_1,635192.7273
Feature0034,[Similar to: 13(S)-HOTrE; ΔMass: 110.8925 Da],C12 H23 N O14,405.11203,70434876.33,2187743.357,1914509.196,145646111.4,6531687.091,572416689.7,765280914.2,2308386.815,6382446.371,143521060.7,6603139.612,81871513,358172.4507,[Similar to: 13(S)-HOTrE; ΔMass: 110.8925 Da],12,23,14,0,1,0,0,1.9166666666666667,1.1666666666666667,0.6666666666666665,41.3,2,-12,4.333333333333333,-1.5,-13,Carbohydrate,F1154_1,2187743.357
Feature0033,2-Methoxy-6-methyl-4H-pyran-4-one,C7 H8 O3,140.0474,7908583.55,8206565.677,10447768.55,756334164.2,19048174.14,3997346.666,1111684.87,11169680.6,7528705.961,271622962.8,14063681.95,227809977.8,39878.82246,2-Methoxy-6-methyl-4H-pyran-4-one,7,8,3,0,0,0,0,1.1428571428571428,0.42857142857142855,-0.2857142857142856,68.44285714285714,4,1,0.25,0.45454545454545453,1,Phenol,F1154_1,8206565.677
Feature0032,"[Similar to: 16-Acetoxy-3-{[hexopyranosyl-(1->6)hexopyranosyl-(1->4)-2,6-dideoxy-3-O-methylhexopyranosyl]oxy}-14-hydroxycard-20(22)-enolide; ΔMass: -594.3404 Da]",C12 H18 O9,306.0951,453552777.2,598612.8839,653949.9914,156759412.9,826745.6006,518998992.6,664436604.4,400306.0458,543727.928,61458907.53,998336.9811,18463454.85,307675.9177,"[Similar to: 16-Acetoxy-3-{[hexopyranosyl-(1->6)hexopyranosyl-(1->4)-2,6-dideoxy-3-O-methylhexopyranosyl]oxy}-14-hydroxycard-20(22)-enolide; ΔMass: -594.3404 Da]",12,18,9,0,0,0,0,1.5,0.75,0,60.3,4,-5,-1.6666666666666667,-0.06666666666666667,-5,Carbohydrate,F1154_1,598612.8839
Feature0031,Methylmalonic acid,C4 H6 O4,118.02667,413016.2342,287748.2296,476782.4558,2520663.764,871093.6604,443368.7611,684449.6781,312871.7199,429516.0839,606950659.9,84449107.48,652418587.4,94979.48475,Methylmalonic acid,4,6,4,0,0,0,0,1.5,1,0.5,46.05,2,-2,-Inf,0,-2,Carbohydrate,F1154_1,287748.2296
Feature0030,L-(+)-Lactic acid,C3 H6 O3,90.03171,420094949.1,4781965.323,5512134.319,228613699,629781932.8,641858382.8,569864324.2,5345095.779,5614182.715,7222948.085,5640868.463,6442576.804,4237373.836,L-(+)-Lactic acid-peak2,3,6,3,0,0,0,0,2,1,0,60.3,1,-2,-Inf,-0.3333333333333333,-2,Carbohydrate,F1154_1,4781965.323
Feature0029,[Similar to: L-(-)-Arabitol; ΔMass: 46.0055 Da],C6 H14 O7,198.07396,3640194.106,134226345.9,264812674.8,3575287.142,8484752.97,3336577.418,3972179.61,159042369.4,633644240.1,2974459.777,432559340.5,2684452.65,73384.03486,[Similar to: L-(-)-Arabitol; ΔMass: 46.0055 Da],6,14,7,0,0,0,0,2.3333333333333335,1.1666666666666667,0,60.3,0,-7,7,-1.4,-7,Carbohydrate,F1154_1,134226345.9
Feature0028,beta-D-Ethyl glucuronide,C8 H14 O7,222.0739,470808109.3,180888.6802,414959.774,16071525.53,780128.5365,548577034.6,572179993.6,229926.9138,1047974.518,23542977.81,260351.2202,15703379.67,104162.7596,beta-D-Ethyl glucuronide,8,14,7,0,0,0,0,1.75,0.875,0,60.3,2,-5,-5,-0.3333333333333333,-5,Carbohydrate,F1154_1,180888.6802
Feature0027,[Similar to: Lamiide; ΔMass: -206.1024 Da],C6 H13 Cl O6,216.04004,400975155.1,1414474.454,1213439.828,154988100.4,1522288.585,471075801.3,138974729.1,1799832.238,1794500.718,243071443,2715967.742,287499220.5,104605.5598,[Similar to: Lamiide; ΔMass: -206.1024 Da],7,13,6,1,0,0,0,1.8571428571428572,0.8571428571428571,-0.14285714285714324,64.37142857142858,1.5,-4.5,-4.5,-0.375,-4.5,Carbohydrate,F1154_1,1414474.454
Feature0026,Perillic acid,C10 H14 O2,166.09931,1645617.916,48185.60089,50547.63354,106703817.8,57452.0218,268487.6309,74711.41573,50422.86652,50731.53687,453957912,50993.91032,422001745,45535.78104,Perillic acid,10,14,2,0,0,0,0,1.4,0.2,-1,88.8,4,2,0.25,0.3333333333333333,2,Phenol,F1154_1,48185.60089
Feature0025,"3-Methoxy-4-(methoxycarbonyl)-5-methylphenyl 4-[(2,4-dimethoxy-6-methylbenzoyl)oxy]-2-methoxy-6-methylbenzoate",C29 H30 O10,538.18389,909646.7409,65566.72532,68878.81548,208488067,88569.59247,159451.8926,73276.3327,66025.21106,76232.11412,439557771.3,77664.73943,426432037.2,70715.93444,"3-Methoxy-4-(methoxycarbonyl)-5-methylphenyl 4-[(2,4-dimethoxy-6-methylbenzoyl)oxy]-2-methoxy-6-methylbenzoate",29,30,10,0,0,0,0,1.0344827586206897,0.3448275862068966,-0.3448275862068968,70.12758620689655,15,5,0.2631578947368421,0.4166666666666667,5,Phenol,F1154_1,65566.72532
Feature0024,"[Similar to: 16-Acetoxy-3-{[hexopyranosyl-(1->6)hexopyranosyl-(1->4)-2,6-dideoxy-3-O-methylhexopyranosyl]oxy}-14-hydroxycard-20(22)-enolide; ΔMass: -548.3349 Da]",C13 H20 O11,352.10057,263196098.3,255099.9673,350064.2442,92824822.36,348280.1947,301946037.6,388046717.8,180893.3721,197573.0874,34912233.09,544294.4686,11546931.96,150128.9545,"[Similar to: 16-Acetoxy-3-{[hexopyranosyl-(1->6)hexopyranosyl-(1->4)-2,6-dideoxy-3-O-methylhexopyranosyl]oxy}-14-hydroxycard-20(22)-enolide; ΔMass: -548.3349 Da]",13,20,11,0,0,0,0,1.5384615384615385,0.8461538461538461,0.15384615384615374,55.91538461538462,4,-7,-3.5,-0.2,-7,Carbohydrate,F1154_1,255099.9673
Feature0023,"N-Acetyl-2,7-anhydro-Î±-neuraminic acid",C11 H17 N O8,291.09547,174450293.1,206584678.9,265184138,341624206.3,348523933.5,176562430.3,156450808.1,278480995.3,385396200.4,346090091.7,329561833.8,318421837.8,214445.4624,"N-Acetyl-2,7-anhydro-Î±-neuraminic acid",11,17,8,0,1,0,0,1.5454545454545454,0.7272727272727273,0.18181818181818166,55.11818181818182,4,-4,-2.5,-0.16666666666666666,-5,Carbohydrate,F1154_1,206584678.9
Feature0022,3-Allyl-2-hydroxybenzoic acid,C10 H10 O3,178.06296,1073838.622,521627.005,372528.0603,69989835.8,775146.3364,612427.3602,552359.4526,142640.1512,383466.1778,383683026.1,671542.8815,278119459.4,31755.1322,3-Allyl-2-hydroxybenzoic acid,10,10,3,0,0,0,0,1,0.3,-0.40000000000000036,71.7,6,3,0.42857142857142855,0.5294117647058824,3,Phenol,F1154_1,521627.005
Feature0021,[Similar to: 5(S)-HpEPE; ΔMass: 70.8976 Da],C12 H23 N O14,405.11203,45606833.41,113728076.1,137503035.9,374832222.6,60903534.63,64998104.8,48575670.77,32438228.47,95107765.44,322625337.8,84434138.98,329141922.9,113230.9447,[Similar to: 5(S)-HpEPE; ΔMass: 70.8976 Da],12,23,14,0,1,0,0,1.9166666666666667,1.1666666666666667,0.6666666666666665,41.3,2,-12,4.333333333333333,-1.5,-13,Carbohydrate,F1154_1,113728076.1
Feature0020,3-Ethoxy-4-hydroxyphenylacetic acid,C10 H12 O4,196.07358,907268.0149,416369.1992,216703.7313,136143526.2,2782512.132,452102.1266,497403.3876,134532.6613,1261191.498,367757439.8,732165.0557,365055952.9,47102.22146,3-Ethoxy-4-hydroxyphenylacetic acid,10,12,4,0,0,0,0,1.2,0.4,-0.40000000000000036,71.7,5,1,0.16666666666666666,0.375,1,Phenol,F1154_1,416369.1992
Feature0019,Methyl acetoacetate,C5 H8 O3,116.04739,592676.9492,99046649.57,255650765.9,2368521.607,339009351.9,2117641.951,845627.5506,1345838.487,2750627.975,1125514.277,106523353.8,1154067.457,175506.6927,Methyl acetoacetate,5,8,3,0,0,0,0,1.6,0.6,-0.40000000000000036,71.7,2,-1,-0.5,0.14285714285714285,-1,Amino Sugar,F1154_1,99046649.57
Feature0018,Uridine,C9 H12 N2 O6,244.06947,234414593.7,69963387.3,86131656.98,135780614.5,163967628,251961808,310678932.2,84625517.33,256469359.6,99485711.76,125586890.1,77315892.34,98439.95389,Uridine,9,12,6,0,2,0,0,1.3333333333333333,0.6666666666666666,0.6666666666666665,41.3,5,-1,-3,0,-3,Other,F1154_1,69963387.3
Feature0017,"?,?'-diglycerol",C6 H14 O5,166.08405,537017.9084,112719781.4,123870372.6,6457306.889,111295796.9,279731.4123,188786.9491,158708542,307068990.9,8185484.336,251052150.9,6271403.527,152006.2179,"?,?'-diglycerol",6,14,5,0,0,0,0,2.3333333333333335,0.8333333333333334,-0.666666666666667,79.30000000000001,0,-5,-5,-0.7142857142857143,-5,Carbohydrate,F1154_1,112719781.4
Feature0016,2-O-beta-L-Arabinofuranosyl-beta-L-arabinofuranose,C10 H18 O9,282.09508,139264434,58519060.18,134431049.2,246950043.3,152866358.7,163517011.8,211232999.9,167784.9103,17853043.81,252433498.5,91789416.42,232418285.1,130562.0077,2-O-beta-L-Arabinofuranosyl-beta-L-arabinofuranose,10,18,9,0,0,0,0,1.8,0.9,0,60.3,2,-7,-7,-0.45454545454545453,-7,Carbohydrate,F1154_1,58519060.18
Feature0015,L-Glutamic acid,C5 H9 N O4,147.05322,34216111.98,50272494.88,37757903.16,43081771.68,20392375.54,39154530.07,55685615.55,84535997.35,248373804.6,25224252.35,93687105.13,37167469.52,64803.04353,L-Glutamic acid,5,9,4,0,1,0,0,1.8,0.8,0.3999999999999999,48.9,2,-2,-Inf,-0.5,-3,Carbohydrate,F1154_1,50272494.88
Feature0014,"2-Amino-N'-(2,4-dinitrophenyl)-5-hydroxypentanehydrazide",C11 H15 N5 O6,313.10231,14265459.89,95463541.2,95166939.89,141307353.5,140681016.4,16250632.5,19128396.55,106225947.7,238304601.4,103036587,168552719.6,96085679.37,96850.06904,"2-Amino-N'-(2,4-dinitrophenyl)-5-hydroxypentanehydrazide",11,15,6,0,5,0,0,1.3636363636363635,0.5454545454545454,1.0909090909090908,29.209090909090907,7,1,-Inf,-0.3333333333333333,-4,Phenol,F1154_1,95463541.2
Feature0013,DL-Mevalonic acid,C6 H12 O4,148.07363,371331.7274,42791120.32,157159568,31400745.9,114049678.7,714315.1417,421365.9994,2942898.721,237787182.7,109098.3399,571624.5978,88661.89497,60992.52446,DL-Mevalonic acid,6,12,4,0,0,0,0,2,0.6666666666666666,-0.666666666666667,79.30000000000001,1,-3,-1.5,-0.25,-3,Amino Sugar,F1154_1,42791120.32
Feature0012,Citric acid,C6 H8 O7,192.02704,35040259.83,1591109.396,1822592.063,69300829.08,1652376.152,68689093.45,235617865,2444376.819,2836728.164,34966750.02,4204040.975,21855045.42,226903.987,Citric acid,6,8,7,0,0,0,0,1.3333333333333333,1.1666666666666667,1,31.799999999999997,3,-4,4,-0.2,-4,Other,F1154_1,1591109.396
Feature0011,"3,4-Dihydroxyphenylpropionic acid",C9 H10 O4,182.05791,749706.2003,1389164.034,1665542.605,197728733.6,229931.4273,1010517.697,1318020.578,694291.3945,646272.7402,203901178.3,1026836.727,194143242,39324.70348,"3,4-Dihydroxyphenylpropionic acid",9,10,4,0,0,0,0,1.1111111111111112,0.4444444444444444,-0.22222222222222232,66.63333333333333,5,1,0.2,0.42857142857142855,1,Phenol,F1154_1,1389164.034
Feature0010,2-methoxyresorcinol sulfate,C7 H8 O6 S,220.00407,360527.4481,31104.05555,67664.24798,145317413.3,41436.35761,198450.8024,31982.31903,31176.23973,128883.5602,150417068.4,36680.47992,160776795,32709.43534,2-methoxyresorcinol sulfate,7,8,6,0,0,1,0,1.1428571428571428,0.8571428571428571,0.8571428571428572,35.87142857142857,4,-2,-Inf,0,-3,Other,F1154_1,31104.05555
Feature0009,3-Methylsalicylic acid,C8 H8 O3,152.04741,247407.5523,78011998.75,117314843.4,2184368.235,146019510.2,992401.4287,229763.1674,1646720.628,5178309.846,864240.4662,114906806.2,820301.4226,32283.95552,3-Methylsalicylic acid,8,8,3,0,0,0,0,1,0.375,-0.25,67.425,5,2,0.4,0.5384615384615384,2,Phenol,F1154_1,78011998.75
Feature0008,L-(+)-Lactic acid,C3 H6 O3,90.03171,5336735.686,29335747.58,69719712.29,86880756.31,115232656.9,8556893.584,8409783.296,23115470.07,98206473.09,93810416.52,58498143.17,96386607.92,94434.64619,L-(+)-Lactic acid-peak1,3,6,3,0,0,0,0,2,1,0,60.3,1,-2,-Inf,-0.3333333333333333,-2,Carbohydrate,F1154_1,29335747.58
Feature0007,9(S)-HpOTrE,C18 H30 O4,310.21449,27602.36165,933463.8592,8867236.267,1227413.099,110344085,230488.3031,29787.04047,2630014.904,7041032.85,2447153.591,800597.8817,1208645.162,31909.17592,9(S)-HpOTrE,18,30,4,0,0,0,0,1.6666666666666667,0.2222222222222222,-1.2222222222222223,95.13333333333333,4,0,0,0.125,0,Lipid,F1154_1,933463.8592
Feature0006,NA,C52 H84 O5 P2 S,882.55141,33572.45411,10283315.53,40172304.52,39733.29787,241516.0157,35763.11078,36229.65535,1267140.34,103842803.6,50090.02806,32540913.59,53997.66722,38810.78576,Feature0006,52,84,5,0,0,1,2,1.6153846153846154,0.09615384615384616,-1.5769230769230766,105.24230769230769,12,7,0.09090909090909091,0.13978494623655913,4,Lipid,F1154_1,10283315.53
Feature0005,NA,C10 H3 N2 O5 P,261.97801,7257202.35,38044614.08,72279778.56,87510719.95,95019706.69,10294817.97,12970159.12,35300964.03,97611743.7,70332654.4,59642877.79,76328092,57285.35993,Feature0005,10,3,5,0,2,0,1,0.3,0.5,0.7999999999999998,37.5,11,6,1.5,1.2222222222222223,3,Condensed HC,F1154_1,38044614.08
Feature0004,[Similar to: NP-012816; ΔMass: -493.3063 Da],C9 H22 N O8 P,303.10835,15535392.27,49045307.74,39175984.52,46233470.55,96277523.44,17760593.15,22483990.13,22022586.08,29202906.6,39845404.48,66725903.81,21560809.23,59127.51064,[Similar to: NP-012816; ΔMass: -493.3063 Da],9,22,8,0,1,0,1,2.4444444444444446,0.8888888888888888,-0.8888888888888893,85.63333333333334,0,-8,10,-2,-10,Carbohydrate,F1154_1,49045307.74
Feature0003,"4-(1,3-Benzodioxol-5-ylmethyl)-3-(3,4,5-trimethoxybenzyl)tetrahydro-2-furanol",C22 H26 O7,402.16794,379670.8853,50927.96409,54695.75122,27259043.04,60721.76021,75201.92683,78963.42946,53292.55811,53618.79566,94748740.42,53896.10144,94141552.84,48127.33636,"4-(1,3-Benzodioxol-5-ylmethyl)-3-(3,4,5-trimethoxybenzyl)tetrahydro-2-furanol",22,26,7,0,0,0,0,1.1818181818181819,0.3181818181818182,-0.5454545454545459,75.84545454545456,10,3,0.2,0.35135135135135137,3,Phenol,F1154_1,50927.96409
Feature0002,Phenylacetaldehyde,C8 H8 O,120.05755,334505.1162,55494.2969,58214.59795,21692798.38,66166.23008,75860.55916,181054.1604,58070.90653,60647.58916,85767438.36,61787.33547,83121579.44,52442.55765,Phenylacetaldehyde,8,8,1,0,0,0,0,1,0.125,-0.75,81.675,5,4,0.5714285714285714,0.6,4,Unsaturated HC,F1154_1,55494.2969
Feature0001,"2,4,6-Trihydroxyacetophenone",C8 H8 O4,168.04221,71263.17626,144579.8075,112488.2954,35806706.25,155271.897,174912.3531,190239.4542,118700.658,161927.7501,74993444.72,101066.9162,78997316.93,70073.4216,"2,4,6-Trihydroxyacetophenone",8,8,4,0,0,0,0,1,0.5,0,60.3,5,1,0.25,0.5,1,Phenol,F1154_1,144579.8075
Feature0049,D-(+)-Maltose,C12 H22 O11,342.11635,3059344310,1013330.965,1537515.106,95846634.53,1976054.689,3266503542,3898012088,1009198.99,4254267.578,100196444.2,1242910.356,67370082.88,284909.8436,D-(+)-Maltose-peak2,12,22,11,0,0,0,0,1.8333333333333333,0.9166666666666666,0,60.3,2,-9,-9,-0.5384615384615384,-9,Carbohydrate,F1177_1,1537515.106
Feature0048,D-(+)-Maltose,C12 H22 O11,342.11635,2814305312,4230615.787,6994124.643,287514775.2,13660919.05,3435540829,3725075794,4009267.944,13168371.18,234728123.3,7124985.786,135385467.9,602412.6266,D-(+)-Maltose-peak1,12,22,11,0,0,0,0,1.8333333333333333,0.9166666666666666,0,60.3,2,-9,-9,-0.5384615384615384,-9,Carbohydrate,F1177_1,6994124.643
Feature0047,"[Similar to: (2S,3Z,4S)-2-(β-D-Glucopyranosyloxy)-3-(2-{[(2E)-3-(4-hydroxyphenyl)-2-propenoyl]oxy}ethylidene)-4-(2-methoxy-2-oxoethyl)-3,4-dihydro-2H-pyran-5-carboxylic acid; ΔMass: -13.9640 Da]",C30 H32 O10,552.19956,7235928.49,50299.94337,52840.83506,900187871.4,67946.74377,1205786.678,56214.41924,50651.67371,58481.96634,3031603792,59581.01424,2612432422,54250.19292,"[Similar to: (2S,3Z,4S)-2-(β-D-Glucopyranosyloxy)-3-(2-{[(2E)-3-(4-hydroxyphenyl)-2-propenoyl]oxy}ethylidene)-4-(2-methoxy-2-oxoethyl)-3,4-dihydro-2H-pyran-5-carboxylic acid; ΔMass: -13.9640 Da]",30,32,10,0,0,0,0,1.0666666666666667,0.3333333333333333,-0.40000000000000036,71.7,15,5,0.25,0.4,5,Phenol,F1177_1,52840.83506
Feature0046,L-Iditol,C6 H14 O6,182.07904,50902132.29,709135034.9,644295882.3,47651545.29,240239707.5,42683338.33,47003856.95,1258879228,2827807693,11936668.85,1224508015,10345872.12,324929.6286,L-Iditol-peak2,6,14,6,0,0,0,0,2.3333333333333335,1,-0.33333333333333304,69.79999999999998,0,-6,-Inf,-1,-6,Carbohydrate,F1177_1,644295882.3
Feature0045,L-Iditol,C6 H14 O6,182.07904,70987544.31,1238325399,894095309.2,31159760.82,247655610.8,31248476.64,46417489.56,1546998420,2683285614,20516595.6,2234359747,19534380.68,283312.3719,L-Iditol-peak1,6,14,6,0,0,0,0,2.3333333333333335,1,-0.33333333333333304,69.79999999999998,0,-6,-Inf,-1,-6,Carbohydrate,F1177_1,894095309.2
Feature0044,D-(+)-Glucose,C6 H12 O6,180.06335,924720969.1,17575969.53,72335746.67,2222989365,46423772.73,788755478.4,1088300071,37034571.28,326231720.2,637006513.8,32055209.67,294091879.9,878060.1805,D-(+)-Glucose-peak2,6,12,6,0,0,0,0,2,1,0,60.3,1,-5,-Inf,-0.6666666666666666,-5,Carbohydrate,F1177_1,72335746.67
Feature0043,[Similar to: Quercetin-3β-D-glucoside; ΔMass: -248.0555 Da],C6 H13 Cl O6,216.04001,1557700295,31262802.62,73216662.97,1154398735,42564702.44,1539723852,1823000037,76656945.49,384660426.7,1034271632,55397429.28,538577881.6,585070.051,[Similar to: Quercetin-3β-D-glucoside; ΔMass: -248.0555 Da],7,13,6,1,0,0,0,1.8571428571428572,0.8571428571428571,-0.14285714285714324,64.37142857142858,1.5,-4.5,-4.5,-0.375,-4.5,Carbohydrate,F1177_1,73216662.97
Feature0042,NA,C27 H37 N O5,455.26725,32132.90356,3396576.475,776229368.1,90554.77938,2052878.334,38225.5306,38455.38379,464684.3474,1542818261,69972.92563,3406981.432,69408.47646,36517.44033,Feature0042,27,37,5,0,1,0,0,1.3703703703703705,0.18518518518518517,-0.8888888888888893,85.63333333333334,10,5,0.19047619047619047,0.2765957446808511,4,Phenol,F1177_1,776229368.1
Feature0041,D-(+)-Glucose,C6 H12 O6,180.06334,1072246512,33611686.81,89298825.13,735848691,53541598.85,1104029568,1492348385,60955100.81,393645711.2,625603416.1,62606479.16,446348035.8,733867.1291,D-(+)-Glucose-peak1,6,12,6,0,0,0,0,2,1,0,60.3,1,-5,-Inf,-0.6666666666666666,-5,Carbohydrate,F1177_1,89298825.13
Feature0040,Xylitol,C5 H12 O5,152.06851,9938000.329,304100674.9,574347440.7,8636942.056,19347711.23,7292182.496,9248847.704,348030170.6,1298909139,6236534.648,913826504,5980904.991,226012.9462,Xylitol,5,12,5,0,0,0,0,2.4,1,-0.40000000000000036,71.7,0,-5,-Inf,-1,-5,Carbohydrate,F1177_1,574347440.7
Feature0039,"α,α-Trehalose",C12 H22 O11,342.11637,731599715.9,703467.0058,885946.0557,1010241907,784150.5248,850880328.4,1103766409,754391.5873,3196302.034,1017620644,1072390.964,924680996.2,141720.9831,"α,α-Trehalose",12,22,11,0,0,0,0,1.8333333333333333,0.9166666666666666,0,60.3,2,-9,-9,-0.5384615384615384,-9,Carbohydrate,F1177_1,885946.0557
Feature0038,"[Similar to: α,α-Trehalose; ΔMass: -126.0762 Da]",C6 H13 Cl O6,216.04002,1035603244,2830919.545,2063907.111,140891807,2508382.891,300695817.3,378646398.5,1799822.946,3071271.851,245902016.3,5279058.193,311284994.8,192506.2932,"[Similar to: α,α-Trehalose; ΔMass: -126.0762 Da]",7,13,6,1,0,0,0,1.8571428571428572,0.8571428571428571,-0.14285714285714324,64.37142857142858,1.5,-4.5,-4.5,-0.375,-4.5,Carbohydrate,F1177_1,2063907.111
Feature0037,"1,5-Anhydro-D-fructose",C6 H10 O5,162.05276,867707514.9,291446.9242,554424.0909,28971425.28,636563.7939,1010477192,876800976.8,721328.4846,1262049.972,23352548.83,888161.9383,20491535.68,213520.2758,"1,5-Anhydro-D-fructose",6,10,5,0,0,0,0,1.6666666666666667,0.8333333333333334,0,60.3,2,-3,-3,-0.14285714285714285,-3,Carbohydrate,F1177_1,554424.0909
Feature0036,2-Aminobutyl hydrogen sulfate,C4 H11 N O4 S,169.04084,8459307.288,58895445.61,129623982.8,897124925,164407074.2,8358926.821,8682257.187,100431559.9,458387554.2,683148568.1,141290436,698530184.1,197611.748,2-Aminobutyl hydrogen sulfate,4,11,4,0,1,1,0,2.75,1,0.5,46.05,0,-4,3,-Inf,-6,Other,F1177_1,129623982.8
Feature0035,6-Deoxy-alpha-D-arabino-hexopyranos-3-ulose,C6 H10 O5,162.05276,621911607.5,635192.7273,809863.2279,24324302.1,1533147.977,734921160.5,812698843.3,946108.9466,1187325.836,30615787.09,1245851.869,19467750.26,216372.9342,6-Deoxy-alpha-D-arabino-hexopyranos-3-ulose,6,10,5,0,0,0,0,1.6666666666666667,0.8333333333333334,0,60.3,2,-3,-3,-0.14285714285714285,-3,Carbohydrate,F1177_1,809863.2279
Feature0034,[Similar to: 13(S)-HOTrE; ΔMass: 110.8925 Da],C12 H23 N O14,405.11203,70434876.33,2187743.357,1914509.196,145646111.4,6531687.091,572416689.7,765280914.2,2308386.815,6382446.371,143521060.7,6603139.612,81871513,358172.4507,[Similar to: 13(S)-HOTrE; ΔMass: 110.8925 Da],12,23,14,0,1,0,0,1.9166666666666667,1.1666666666666667,0.6666666666666665,41.3,2,-12,4.333333333333333,-1.5,-13,Carbohydrate,F1177_1,1914509.196
Feature0033,2-Methoxy-6-methyl-4H-pyran-4-one,C7 H8 O3,140.0474,7908583.55,8206565.677,10447768.55,756334164.2,19048174.14,3997346.666,1111684.87,11169680.6,7528705.961,271622962.8,14063681.95,227809977.8,39878.82246,2-Methoxy-6-methyl-4H-pyran-4-one,7,8,3,0,0,0,0,1.1428571428571428,0.42857142857142855,-0.2857142857142856,68.44285714285714,4,1,0.25,0.45454545454545453,1,Phenol,F1177_1,10447768.55
Feature0032,"[Similar to: 16-Acetoxy-3-{[hexopyranosyl-(1->6)hexopyranosyl-(1->4)-2,6-dideoxy-3-O-methylhexopyranosyl]oxy}-14-hydroxycard-20(22)-enolide; ΔMass: -594.3404 Da]",C12 H18 O9,306.0951,453552777.2,598612.8839,653949.9914,156759412.9,826745.6006,518998992.6,664436604.4,400306.0458,543727.928,61458907.53,998336.9811,18463454.85,307675.9177,"[Similar to: 16-Acetoxy-3-{[hexopyranosyl-(1->6)hexopyranosyl-(1->4)-2,6-dideoxy-3-O-methylhexopyranosyl]oxy}-14-hydroxycard-20(22)-enolide; ΔMass: -594.3404 Da]",12,18,9,0,0,0,0,1.5,0.75,0,60.3,4,-5,-1.6666666666666667,-0.06666666666666667,-5,Carbohydrate,F1177_1,653949.9914
